文件名,起始索引,结束索引,样本数,平均值,最大值,标准差,>0.01比例,>0.02比例
2025-05-19T16-18-17Z.csv,0,2211,2212,0.007601717902350815,0.069,0.0060587880023857165,0.18399638336347196,0.03887884267631103
2025-05-19T16-22-32Z.csv,2212,7763,5552,0.008572046109510088,0.091,0.007051697497778772,0.2310878962536023,0.056195965417867436
2025-05-19T16-24-53Z.csv,7764,14511,6748,0.008656194427978662,0.103,0.007357783936120901,0.23058684054534678,0.057943094250148194
2025-05-19T16-34-51Z.csv,14512,27139,12628,0.0077738359201773855,0.09,0.006034572521738068,0.18751979727589485,0.04125752296484004
2025-05-19T16-41-41Z.csv,27140,37934,10795,0.008245761926817974,0.166,0.006442383639436545,0.21611857341361743,0.04854099119962946
2025-05-19T16-50-55Z.csv,37935,40712,2778,0.008224262059035278,0.098,0.006633175904767858,0.20914326853851692,0.05075593952483801
2025-05-19T16-59-26Z.csv,40713,44194,3482,0.008608558299827686,0.085,0.0074858753644477865,0.2199885123492246,0.061171740379092475
2025-05-19T17-01-35Z.csv,44195,50710,6516,0.008336556169429098,0.191,0.007385289456488113,0.2114794352363413,0.05356046654389196
2025-05-19T17-05-27Z.csv,50711,62322,11612,0.008585859455735447,0.146,0.007297037879078101,0.22683430933517051,0.05709610747502584
2025-05-19T17-11-23Z.csv,62323,66370,4048,0.00865316205533597,0.118,0.007238338029702405,0.2240612648221344,0.05755928853754941
2025-05-19T17-13-21Z.csv,66371,77131,10761,0.00864678003902983,0.124,0.007272903291451707,0.23278505715082243,0.05733667874732831
2025-05-19T17-17-57Z.csv,77132,79985,2854,0.007687806587245972,0.091,0.006435460290320793,0.18220042046250876,0.04414856341976174
2025-05-19T17-23-13Z.csv,79986,88380,8395,0.008238594401429423,0.108,0.007065751734783653,0.20738534842167958,0.05074449076831447
2025-05-19T17-36-08Z.csv,88381,93138,4758,0.008266078184110971,0.068,0.006606789930517298,0.21290458175704077,0.05296343001261034
2025-05-19T17-38-31Z.csv,93139,98729,5591,0.008460382758003936,0.112,0.007557671603617543,0.213378644249687,0.05616168842783044
2025-05-19T17-40-54Z.csv,98730,100933,2204,0.00849546279491833,0.055,0.006847474749734591,0.21370235934664247,0.05716878402903811
2025-05-19T17-42-08Z.csv,100934,107548,6615,0.008039002267573698,0.148,0.006753985273120884,0.19168556311413454,0.04867724867724868
2025-05-19T17-44-56Z.csv,107549,112955,5407,0.007933974477529129,0.124,0.006833368081931645,0.1945626040318106,0.04623636027371925
2025-05-19T17-49-14Z.csv,112956,116552,3597,0.00769752571587434,0.079,0.006098872772127264,0.18793438976925214,0.04031137058659994
2025-05-19T19-40-42Z.csv,116553,128574,12022,0.008285975711196141,0.155,0.006864571629900047,0.21310929961736816,0.051156213608384626
2025-05-19T19-49-48Z.csv,128575,131309,2735,0.00840694698354662,0.057,0.006759435628878734,0.21681901279707497,0.061791590493601466
2025-05-19T19-51-07Z.csv,131310,142458,11149,0.008449008879720155,0.107,0.006883630064288141,0.22369719257332496,0.05444434478428559
2025-05-19T19-57-32Z.csv,142459,153738,11280,0.00842854609929078,0.112,0.007009659041065288,0.21524822695035462,0.05913120567375887
